collection	size	text	tokens
books	2k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
books	2k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
books	2k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
books	5k	ev	[e, ##v]
books	5k	evim	[e, ##v, ##i, ##m]
books	5k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
books	5k	evde	[e, ##v, ##d, ##e]
books	5k	evden	[e, ##v, ##d, ##e, ##n]
books	5k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
books	5k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
books	5k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
books	5k	okudu	[o, ##k, ##u, ##d, ##u]
books	5k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
books	5k	okuma	[o, ##k, ##u, ##m, ##a]
books	5k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
books	5k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
books	5k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
books	5k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
books	5k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
books	5k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
books	5k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
books	5k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
books	5k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
books	5k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
books	5k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
books	5k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
books	5k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
books	5k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
books	5k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
books	5k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
books	5k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
books	5k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
books	5k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
books	5k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
books	5k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
books	5k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
books	5k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
books	5k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
books	5k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
books	10k	ev	[e, ##v]
books	10k	evim	[e, ##v, ##i, ##m]
books	10k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
books	10k	evde	[e, ##v, ##d, ##e]
books	10k	evden	[e, ##v, ##d, ##e, ##n]
books	10k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
books	10k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
books	10k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
books	10k	okudu	[o, ##k, ##u, ##d, ##u]
books	10k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
books	10k	okuma	[o, ##k, ##u, ##m, ##a]
books	10k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
books	10k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
books	10k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
books	10k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
books	10k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
books	10k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
books	10k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
books	10k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
books	10k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
books	10k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
books	10k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
books	10k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
books	10k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
books	10k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
books	10k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
books	10k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
books	10k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
books	10k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
books	10k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
books	10k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
books	10k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
books	10k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
books	10k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
books	10k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
books	10k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
books	20k	ev	[ev]
books	20k	evim	[evi, ##m]
books	20k	evlerimiz	[ev, ##lerimiz]
books	20k	evde	[evde]
books	20k	evden	[evden]
books	20k	evdeki	[evde, ##ki]
books	20k	evdekiler	[evde, ##kiler]
books	20k	okudum	[oku, ##dum]
books	20k	okudu	[oku, ##du]
books	20k	okumak	[okuma, ##k]
books	20k	okuma	[okuma]
books	20k	okudum	[oku, ##dum]
books	20k	okudular	[oku, ##dular]
books	20k	okuduklarımız	[oku, ##dukları, ##mız]
books	20k	okumadım	[okuma, ##dım]
books	20k	evlerimiz	[ev, ##lerimiz]
books	20k	evimiz	[evi, ##mi, ##z]
books	20k	evimizdeki	[evi, ##mi, ##z, ##deki]
books	20k	evleriniz	[ev, ##leriniz]
books	20k	evlerimizden	[ev, ##lerimiz, ##den]
books	20k	kitapçılardan	[kitap, ##çılar, ##dan]
books	20k	gelmeyeceksiniz	[gelmeye, ##cek, ##siniz]
books	20k	yazdırılmayacakmışsınız	[yazdı, ##rı, ##l, ##mayacak, ##mış, ##sınız]
books	20k	demokrasileştirmenin	[demokrasi, ##leştirme, ##nin]
books	20k	Ankara’dan	[Ankara, [UNK], dan]
books	20k	İstanbul'uyla	[İstanbul, ', uy, ##la]
books	20k	İstanbul'a	[İstanbul, ', a]
books	20k	İstanbul'da	[İstanbul, ', da]
books	20k	İstanbul'dan	[İstanbul, ', dan]
books	20k	görülebilirdi	[görüle, ##bilirdi]
books	20k	çalıştırılabilir	[çalıştır, ##ıl, ##abilir]
books	20k	kapkara	[kap, ##kara]
books	20k	Ankara'ya	[Ankara, ', ya]
books	20k	Ankara'dan	[Ankara, ', dan]
books	20k	Ankara'da	[Ankara, ', da]
books	20k	1923'te	[192, ##3, ', te]
books	32k	ev	[ev]
books	32k	evim	[evi, ##m]
books	32k	evlerimiz	[evleri, ##mi, ##z]
books	32k	evde	[evde]
books	32k	evden	[evden]
books	32k	evdeki	[evdeki]
books	32k	evdekiler	[evdeki, ##ler]
books	32k	okudum	[okudum]
books	32k	okudu	[okudu]
books	32k	okumak	[okumak]
books	32k	okuma	[okuma]
books	32k	okudum	[okudum]
books	32k	okudular	[okudu, ##lar]
books	32k	okuduklarımız	[okudu, ##k, ##larımız]
books	32k	okumadım	[okuma, ##dım]
books	32k	evlerimiz	[evleri, ##mi, ##z]
books	32k	evimiz	[evi, ##mi, ##z]
books	32k	evimizdeki	[evi, ##mi, ##z, ##deki]
books	32k	evleriniz	[evlerin, ##iz]
books	32k	evlerimizden	[evleri, ##mi, ##z, ##den]
books	32k	kitapçılardan	[kitap, ##çılar, ##dan]
books	32k	gelmeyeceksiniz	[gelmeye, ##cek, ##siniz]
books	32k	yazdırılmayacakmışsınız	[yazdır, ##ılmaya, ##cak, ##mış, ##sınız]
books	32k	demokrasileştirmenin	[demokrasi, ##leştirme, ##nin]
books	32k	Ankara’dan	[Ankara, [UNK], dan]
books	32k	İstanbul'uyla	[İstanbul, ', uy, ##la]
books	32k	İstanbul'a	[İstanbul, ', a]
books	32k	İstanbul'da	[İstanbul, ', da]
books	32k	İstanbul'dan	[İstanbul, ', dan]
books	32k	görülebilirdi	[görülebilir, ##di]
books	32k	çalıştırılabilir	[çalıştır, ##ılabilir]
books	32k	kapkara	[kap, ##kara]
books	32k	Ankara'ya	[Ankara, ', ya]
books	32k	Ankara'dan	[Ankara, ', dan]
books	32k	Ankara'da	[Ankara, ', da]
books	32k	1923'te	[192, ##3, ', te]
books	52k	ev	[ev]
books	52k	evim	[evim]
books	52k	evlerimiz	[evleri, ##mi, ##z]
books	52k	evde	[evde]
books	52k	evden	[evden]
books	52k	evdeki	[evdeki]
books	52k	evdekiler	[evdeki, ##ler]
books	52k	okudum	[okudum]
books	52k	okudu	[okudu]
books	52k	okumak	[okumak]
books	52k	okuma	[okuma]
books	52k	okudum	[okudum]
books	52k	okudular	[okudu, ##lar]
books	52k	okuduklarımız	[okuduk, ##larımız]
books	52k	okumadım	[okuma, ##dım]
books	52k	evlerimiz	[evleri, ##mi, ##z]
books	52k	evimiz	[evim, ##iz]
books	52k	evimizdeki	[evim, ##izdeki]
books	52k	evleriniz	[evlerini, ##z]
books	52k	evlerimizden	[evleri, ##mi, ##z, ##den]
books	52k	kitapçılardan	[kitapçı, ##lardan]
books	52k	gelmeyeceksiniz	[gelmeyecek, ##siniz]
books	52k	yazdırılmayacakmışsınız	[yazdır, ##ılmayacak, ##mışsın, ##ız]
books	52k	demokrasileştirmenin	[demokrasi, ##leştirme, ##nin]
books	52k	Ankara’dan	[Ankara, [UNK], dan]
books	52k	İstanbul'uyla	[İstanbul, ', uy, ##la]
books	52k	İstanbul'a	[İstanbul, ', a]
books	52k	İstanbul'da	[İstanbul, ', da]
books	52k	İstanbul'dan	[İstanbul, ', dan]
books	52k	görülebilirdi	[görülebilir, ##di]
books	52k	çalıştırılabilir	[çalıştır, ##ılabilir]
books	52k	kapkara	[kapkara]
books	52k	Ankara'ya	[Ankara, ', ya]
books	52k	Ankara'dan	[Ankara, ', dan]
books	52k	Ankara'da	[Ankara, ', da]
books	52k	1923'te	[1923, ', te]
books	128k	ev	[ev]
books	128k	evim	[evim]
books	128k	evlerimiz	[evleri, ##miz]
books	128k	evde	[evde]
books	128k	evden	[evden]
books	128k	evdeki	[evdeki]
books	128k	evdekiler	[evdeki, ##ler]
books	128k	okudum	[okudum]
books	128k	okudu	[okudu]
books	128k	okumak	[okumak]
books	128k	okuma	[okuma]
books	128k	okudum	[okudum]
books	128k	okudular	[okudular]
books	128k	okuduklarımız	[okudukları, ##mız]
books	128k	okumadım	[okumadım]
books	128k	evlerimiz	[evleri, ##miz]
books	128k	evimiz	[evimiz]
books	128k	evimizdeki	[evimizde, ##ki]
books	128k	evleriniz	[evlerini, ##z]
books	128k	evlerimizden	[evlerimizde, ##n]
books	128k	kitapçılardan	[kitapçı, ##lardan]
books	128k	gelmeyeceksiniz	[gelmeyecek, ##siniz]
books	128k	yazdırılmayacakmışsınız	[yazdır, ##ılmayacak, ##mışsınız]
books	128k	demokrasileştirmenin	[demokrasi, ##leştirmenin]
books	128k	Ankara’dan	[Ankara, [UNK], dan]
books	128k	İstanbul'uyla	[İstanbul, ', uyla]
books	128k	İstanbul'a	[İstanbul, ', a]
books	128k	İstanbul'da	[İstanbul, ', da]
books	128k	İstanbul'dan	[İstanbul, ', dan]
books	128k	görülebilirdi	[görülebilirdi]
books	128k	çalıştırılabilir	[çalıştır, ##ılabilir]
books	128k	kapkara	[kapkara]
books	128k	Ankara'ya	[Ankara, ', ya]
books	128k	Ankara'dan	[Ankara, ', dan]
books	128k	Ankara'da	[Ankara, ', da]
books	128k	1923'te	[1923, ', te]
oldbooks	2k	ev	[e, ##v]
oldbooks	2k	evim	[e, ##v, ##i, ##m]
oldbooks	2k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	2k	evde	[e, ##v, ##d, ##e]
oldbooks	2k	evden	[e, ##v, ##d, ##e, ##n]
oldbooks	2k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
oldbooks	2k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
oldbooks	2k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	2k	okudu	[o, ##k, ##u, ##d, ##u]
oldbooks	2k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
oldbooks	2k	okuma	[o, ##k, ##u, ##m, ##a]
oldbooks	2k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	2k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
oldbooks	2k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
oldbooks	2k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
oldbooks	2k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	2k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
oldbooks	2k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
oldbooks	2k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
oldbooks	2k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
oldbooks	2k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
oldbooks	2k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
oldbooks	2k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
oldbooks	2k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
oldbooks	2k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
oldbooks	2k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
oldbooks	2k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
oldbooks	2k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
oldbooks	2k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
oldbooks	2k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
oldbooks	2k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
oldbooks	2k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
oldbooks	2k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
oldbooks	2k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
oldbooks	2k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
oldbooks	2k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
oldbooks	5k	ev	[e, ##v]
oldbooks	5k	evim	[e, ##v, ##i, ##m]
oldbooks	5k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	5k	evde	[e, ##v, ##d, ##e]
oldbooks	5k	evden	[e, ##v, ##d, ##e, ##n]
oldbooks	5k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
oldbooks	5k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
oldbooks	5k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	5k	okudu	[o, ##k, ##u, ##d, ##u]
oldbooks	5k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
oldbooks	5k	okuma	[o, ##k, ##u, ##m, ##a]
oldbooks	5k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	5k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
oldbooks	5k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
oldbooks	5k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
oldbooks	5k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	5k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
oldbooks	5k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
oldbooks	5k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
oldbooks	5k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
oldbooks	5k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
oldbooks	5k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
oldbooks	5k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
oldbooks	5k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
oldbooks	5k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
oldbooks	5k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
oldbooks	5k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
oldbooks	5k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
oldbooks	5k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
oldbooks	5k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
oldbooks	5k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
oldbooks	5k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
oldbooks	5k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
oldbooks	5k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
oldbooks	5k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
oldbooks	5k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
oldbooks	10k	ev	[e, ##v]
oldbooks	10k	evim	[e, ##v, ##i, ##m]
oldbooks	10k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	10k	evde	[e, ##v, ##d, ##e]
oldbooks	10k	evden	[e, ##v, ##d, ##e, ##n]
oldbooks	10k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
oldbooks	10k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
oldbooks	10k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	10k	okudu	[o, ##k, ##u, ##d, ##u]
oldbooks	10k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
oldbooks	10k	okuma	[o, ##k, ##u, ##m, ##a]
oldbooks	10k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	10k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
oldbooks	10k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
oldbooks	10k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
oldbooks	10k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	10k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
oldbooks	10k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
oldbooks	10k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
oldbooks	10k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
oldbooks	10k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
oldbooks	10k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
oldbooks	10k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
oldbooks	10k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
oldbooks	10k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
oldbooks	10k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
oldbooks	10k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
oldbooks	10k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
